Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/pt,FH Wnr/Pt,BH Wnr/Pt,Vs Ratio,Vs Wnr/Pt,Vs UFE/Pt
2022 Fort Worth Finals RR,L vs Swiatek,6,18,0.3,6.2,18.6,2,17,0.1,2.2,18.7,1.1,1.1,1.1,20.6,19.6
2022 Fort Worth Finals RR,L vs Garcia,12,11,1.1,10.2,9.3,11,9,1.2,9.9,8.1,3.6,6.3,2.0,16.9,8.5
2022 Fort Worth Finals RR,L vs Kasatkina,27,49,0.6,18.9,34.3,26,47,0.6,19.1,34.6,10.3,8.8,0.7,9.8,13.3
2022 Guadalajara 2 R16,W vs Trevisan,7,20,0.4,7.0,20.0,5,14,0.4,5.7,15.9,2.3,1.1,0.2,5.0,28.0
2022 San Diego QF,L vs Swiatek,17,27,0.6,18.7,29.7,15,25,0.6,17.4,29.1,8.1,9.3,1.2,14.3,12.1
2022 San Diego R16,W vs Andreescu,28,38,0.7,14.8,20.1,24,32,0.8,13.6,18.1,5.6,7.9,0.5,12.2,23.3
2022 San Diego R32,W vs Montgomery,21,25,0.8,17.6,21.0,17,24,0.7,15.5,21.8,6.4,6.4,0.4,10.9,26.1
2022 US Open QF,L vs Garcia,18,24,0.8,12.9,17.3,13,18,0.7,10.8,15.0,5.8,4.2,1.1,17.3,15.8
2022 US Open R16,W vs Zhang,33,25,1.3,18.8,14.2,28,17,1.6,17.9,10.9,9.6,8.3,0.9,14.8,16.5
2022 US Open R32,W vs Keys,7,14,0.5,6.3,12.5,5,11,0.5,4.8,10.6,2.9,1.9,0.6,11.6,19.6
2022 US Open R64,W vs Ruse,19,25,0.8,14.1,18.5,13,17,0.8,11.5,15.0,4.4,7.1,0.5,11.9,24.4
2022 US Open R128,W vs Jeanjean,29,16,1.8,29.0,16.0,23,13,1.8,26.1,14.8,19.3,5.7,0.5,9.0,17.0
2022 Toronto QF,L vs Halep,22,40,0.6,13.7,24.8,19,35,0.5,13.4,24.6,9.9,2.8,1.1,13.7,12.4
2022 Toronto R16,W vs Sabalenka,33,47,0.7,12.8,18.2,23,32,0.7,11.1,15.5,7.2,3.9,0.9,16.3,17.8
2022 Toronto R32,W vs Rybakina,23,51,0.5,10.0,22.1,19,39,0.5,9.4,19.2,4.9,4.4,0.5,13.0,24.2
2022 San Jose QF,L vs Badosa,21,19,1.1,16.7,15.1,16,13,1.2,14.4,11.7,9.0,5.4,1.2,12.7,10.3
2022 San Jose R32,W vs Kalinina,30,16,1.9,35.7,19.0,23,11,2.1,33.8,16.2,22.1,10.3,0.4,7.1,16.7
2022 Wimbledon R32,L vs Anisimova,16,20,0.8,8.2,10.2,12,15,0.8,6.5,8.1,4.3,2.2,0.7,13.8,20.4
2022 Wimbledon R64,W vs Buzarnescu,24,18,1.3,21.2,15.9,14,17,0.8,14.0,17.0,4.0,10.0,0.6,9.7,17.7
2022 Wimbledon R128,W vs Ruse,21,26,0.8,10.3,12.7,18,18,1.0,9.9,9.9,3.8,4.9,0.4,10.3,27.5
2022 Berlin SF,L vs Jabeur,17,25,0.7,13.5,19.8,14,23,0.6,11.9,19.5,5.1,2.5,1.2,16.7,14.3
2022 Roland Garros F,L vs Swiatek,14,24,0.6,13.9,23.8,12,21,0.6,12.6,22.1,5.3,7.4,1.1,17.8,15.8
2022 Roland Garros SF,W vs Trevisan,14,19,0.7,12.6,17.1,13,17,0.8,12.5,16.3,3.8,8.7,0.3,10.8,31.5
2022 Roland Garros QF,W vs Stephens,18,21,0.9,14.8,17.2,15,15,1.0,13.4,13.4,8.0,5.4,0.5,13.1,24.6
2022 Madrid R16,L vs Halep,18,30,0.6,15.5,25.9,15,24,0.6,14.2,22.6,7.5,6.6,0.9,9.5,10.3
2022 Miami R16,L vs Swiatek,14,36,0.4,12.7,32.7,10,32,0.3,10.1,32.3,6.1,4.0,0.6,10.0,16.4
2022 Indian Wells R32,L vs Halep,19,25,0.8,15.3,20.2,16,21,0.8,13.9,18.3,7.8,5.2,1.5,9.7,6.5
2021 Indian Wells R64,W vs Garcia,37,47,0.8,19.6,24.9,25,40,0.6,15.2,24.2,5.5,9.7,0.4,10.6,23.8
2021 US Open R64,L vs Stephens,13,25,0.5,13.1,25.3,8,21,0.4,9.0,23.6,4.5,2.2,0.6,11.1,19.2
2021 US Open R128,W vs Linette,21,42,0.5,10.0,19.9,12,34,0.4,6.5,18.4,2.2,3.8,0.7,15.2,20.4
2021 Wimbledon R16,L vs Kerber,25,27,0.9,20.5,22.1,19,25,0.8,17.9,23.6,10.4,6.6,1.1,18.0,16.4
2021 Wimbledon R32,W vs Juvan,21,17,1.2,19.4,15.7,16,13,1.2,16.7,13.5,8.3,6.3,0.8,15.7,19.4
2021 Wimbledon R64,W vs Vesnina,19,14,1.4,17.0,12.5,10,9,1.1,11.1,10.0,4.4,5.6,0.7,11.6,17.0
2021 Wimbledon R128,W vs Jones,15,17,0.9,13.5,15.3,10,14,0.7,10.0,14.0,7.0,2.0,0.6,10.8,17.1
2021 Roland Garros QF,L vs Krejcikova,21,34,0.6,12.9,20.9,21,34,0.6,15.1,24.5,,,1.1,13.5,12.3
2021 Roland Garros R16,W vs Jabeur,13,9,1.4,14.3,9.9,13,9,1.4,16.0,11.1,,,0.8,15.4,18.7
2021 Roland Garros R32,W vs Brady,5,0,,14.3,0.0,5,0,,16.1,0.0,,,1.3,14.3,11.4
2021 Roland Garros R64,W vs Wang,22,29,0.8,15.5,20.4,22,29,0.8,16.3,21.5,,,0.7,12.7,17.6
2021 Roland Garros R128,W vs Krunic,17,25,0.7,8.5,12.4,17,25,0.7,9.6,14.1,,,0.7,12.9,18.4
2021 Parma F,W vs Wang,21,21,1.0,18.9,18.9,21,15,1.4,20.4,14.6,6.8,13.6,0.5,9.9,19.8
2021 Rome SF,L vs Swiatek,28,31,0.9,19.2,21.2,21,26,0.8,16.0,19.8,12.2,3.8,1.3,15.8,12.3
2021 Rome R16,W vs Sabalenka,13,18,0.7,9.9,13.7,13,18,0.7,10.4,14.4,5.6,3.2,0.6,16.8,26.0
2021 Madrid R64,L vs Pliskova,20,40,0.5,10.5,21.1,16,28,0.6,10.5,18.4,7.2,3.3,0.9,19.5,21.1
2021 Australian Open R64,L vs Svitolina,19,22,0.9,15.7,18.2,19,22,0.9,17.3,20.0,,,1.1,12.4,11.6
2021 Australian Open R128,W vs Teichmann,7,10,0.7,7.3,10.4,7,10,0.7,8.8,12.5,,,0.5,9.4,20.8
2020 Ostrava R16,L vs Sabalenka,26,27,1.0,13.8,14.4,22,20,1.1,13.2,12.0,5.4,7.2,0.7,16.0,22.3
2020 Roland Garros R64,L vs Trevisan,20,27,0.7,10.8,14.5,20,27,0.7,12.3,16.7,,,0.8,12.9,16.1
2020 Roland Garros R128,W vs Konta,11,14,0.8,8.1,10.3,11,14,0.8,9.6,12.3,,,0.6,14.7,26.5
2020 US Open R128,L vs Sevastova,27,41,0.7,14.6,22.2,24,28,0.9,14.9,17.4,7.5,5.0,0.6,14.6,22.7
2020 Cincinnati R64,L vs Sakkari,7,11,0.6,7.2,11.3,4,7,0.6,4.9,8.5,2.4,2.4,0.9,16.5,17.5
2020 Lexington QF,W vs Jabeur,23,35,0.7,12.6,19.1,20,24,0.8,12.8,15.4,5.8,7.1,0.5,14.2,26.2
2020 Lexington R16,W vs Sabalenka,17,42,0.4,8.5,20.9,15,33,0.5,8.8,19.3,4.1,4.7,0.6,16.4,27.9
2020 Australian Open R16,L vs Kenin,32,41,0.8,17.6,22.5,32,41,0.8,19.5,25.0,,,1.4,14.8,10.4
2020 Australian Open R32,W vs Osaka,5,13,0.4,4.8,12.4,5,13,0.4,5.3,13.8,,,0.4,11.4,27.6
2020 Australian Open R64,W vs Cirstea,28,30,0.9,15.1,16.1,28,30,0.9,16.8,18.0,,,0.6,9.7,15.1
2020 Australian Open R128,W vs Williams,15,26,0.6,10.3,17.8,15,26,0.6,11.8,20.5,,,0.5,12.3,24.0
2019 Linz F,W vs Ostapenko,7,22,0.3,4.9,15.5,5,18,0.3,3.9,14.0,1.6,2.3,1.0,26.1,25.4
2019 Linz SF,W vs Petkovic,24,13,1.8,17.3,9.4,22,13,1.7,16.8,9.9,9.9,6.9,1.1,19.4,17.3
2019 Linz QF,W vs Bertens,21,24,0.9,14.9,17.0,20,23,0.9,15.5,17.8,7.0,8.5,0.7,15.6,21.3
2019 US Open R32,L vs Osaka,8,24,0.3,8.8,26.4,6,17,0.4,7.9,22.4,3.9,3.9,1.4,26.4,18.7
2019 US Open R64,W vs Babos,32,34,0.9,17.1,18.2,23,27,0.9,14.6,17.2,7.6,7.0,0.8,17.1,22.5
2019 US Open R128,W vs Potapova,14,42,0.3,8.2,24.7,14,31,0.5,9.2,20.3,4.6,3.9,0.4,9.4,24.1
2019 Wimbledon R16,L vs Halep,15,29,0.5,12.6,24.4,15,28,0.5,13.5,25.2,8.1,4.5,1.2,14.3,11.8
2019 Wimbledon R32,W vs Hercog,24,43,0.6,11.4,20.5,21,37,0.6,10.9,19.2,5.7,5.2,0.8,16.2,21.4
2019 Wimbledon R64,W vs Rybarikova,18,10,1.8,17.3,9.6,16,7,2.3,17.2,7.5,5.4,10.8,0.6,14.4,23.1
2019 Wimbledon R128,W vs Williams,18,8,2.3,15.7,7.0,14,3,4.7,14.0,3.0,8.0,5.0,0.6,13.9,22.6
2019 Wimbledon Q1,W vs Bolsova,19,23,0.8,15.4,18.7,17,16,1.1,15.3,14.4,8.1,6.3,0.6,17.1,26.8
2019 Miami R64,L vs Kasatkina,16,35,0.5,16.0,35.0,14,29,0.5,16.1,33.3,6.9,9.2,0.4,7.0,18.0
